Country Name,FDI_net_inflow_percentGDP,GDP_per_capita,ln(GDP_per_capita),Inflation_GDP_deflator_annual_percent,Trade_percent_GDP,Unemployment_percent_of_total_labor_force,manufacturing_value_added,savings_percent_gdp
"Micronesia, Fed. Sts.",,3571.336769,8.18069525,2.287818304,93.50816241,,0.5092705002,
Gabon,8.086446417,8635.325694,9.063616708,25.34846965,72.64559462,21.83600044,23.58839112,
United Kingdom,0.189126104,46510.28278,10.7474287,0.369254421,56.67033423,4.826000214,8.777998124,15.94549745
Georgia,6.803097556,5023.27438,8.521837267,10.25408911,102.8211961,12.20800018,9.868780309,8.612767613
Ghana,3.367245401,2363.299296,7.767813928,11.18722679,58.43001363,3.91899991,10.7001507,21.73951236
Guinea,1.228015392,1189.175999,7.081015908,11.5,132.3825124,5.820000172,9.722191412,1.910352066
"Gambia, The",12.35383004,772.1523951,6.649181934,7.84693621,42.09279568,4.980999947,1.870702461,35.69925284
Guinea-Bissau,1.453462526,795.1185693,6.678491247,6.218315512,,3.687000036,,
Equatorial Guinea,4.002569121,7506.667523,8.923546908,18.16219531,102.0672996,9.147000313,22.74843818,
Greece,2.853988532,20192.5963,9.913071296,1.292199149,89.46090242,14.71000004,8.648155813,10.6647904
Grenada,12.84513246,9010.572245,9.106153861,2.790173761,,,3.313783572,
Guatemala,4.184149829,5025.542291,8.522288646,2.751800976,49.86155245,2.941999912,13.99917408,19.17782946
Guam,,35904.86355,10.48862804,2.937328402,62.92666993,6.25,,
Guyana,27.81171072,9998.544311,9.210194792,22.46543503,,14.90499973,3.133827547,
"Hong Kong SAR, China",37.16143581,49800.54241,10.81578115,0.852278618,402.2232429,5.170000076,0.9170005596,28.91378191
Honduras,3.074709057,2771.717461,7.927222429,3.800923573,100.3806761,7.947000027,16.37021016,19.15759375
Croatia,6.75828982,17685.32528,9.780490494,2.034956001,104.0265295,7.610000134,11.40182886,24.83659672
Haiti,0.244929519,1829.593044,7.511848841,19.34195125,37.04653984,15.0170002,19.30310353,14.9113763
Hungary,16.13696008,18728.12189,9.837781518,6.302723394,162.7918598,4.050000191,16.95199075,26.50659496
Indonesia,1.801041009,4332.709281,8.373948325,6.015274347,40.42276773,3.829999924,19.25015662,33.07091885
India,1.408158771,2256.590409,7.721610284,9.966416661,45.29026574,7.712999821,13.97576886,30.2137348
Ireland,16.06930901,100172.0793,11.51464478,0.657643226,229.4460365,6.190000057,34.61500883,38.95319934
"Iran, Islamic Rep.",0.396148984,4091.209187,8.31659585,56.31965464,44.37383405,10.81799984,21.21509497,
Iraq,-1.268607654,4775.377454,8.471228298,33.44781553,61.82135355,16.17000008,2.054694658,30.45950495
Iceland,0.363751606,68727.63666,11.13790668,5.996621196,78.18088908,6.019999981,9.167680333,15.20826928
Israel,4.398184742,52170.71186,10.86227654,2.128294717,54.96292529,4.318999767,10.16480267,29.1394282
Italy,0.897256467,35657.49756,10.48171471,0.538692423,62.98312326,9.5,14.90227212,23.10512395
Jamaica,2.186444477,5183.581305,8.553251468,7.427423702,73.35657608,6.011000156,8.197332482,33.93172261
Jordan,1.359363617,4103.258966,8.319536807,1.278663445,81.44389263,18.44400024,17.03353892,8.284815184
Japan,0.669779533,39312.66037,10.57930189,-0.875626753,37.37998649,2.799999952,,28.1112853
Kazakhstan,2.325720046,10373.78979,9.247037692,13.93007505,57.54390132,5.162000179,13.60875474,25.54216109
Kenya,0.419901404,2081.799855,7.640988113,5.004546443,30.66917475,5.644000053,7.244218148,16.41079918
Kyrgyz Republic,2.897092131,1276.700365,7.152034189,15.96865492,108.394252,4.765999794,13.45541597,20.13307863
Cambodia,12.92034312,1625.23502,7.393407712,1.291945004,132.2139058,0.294999987,17.86494001,28.59781561
Kiribati,0.49817405,1606.462514,7.381789844,3.288191525,108.490566,,,
St. Kitts and Nevis,3.071561626,18082.61019,9.802705992,-1.814060753,,,4.787739806,
"Korea, Rep.",0.928774702,34997.78164,10.46303996,2.497675721,80.49233995,3.640000105,25.46192953,36.58925298
Lao PDR,5.693446966,2535.623432,7.838194816,3.713448371,,3.637000084,8.69509979,
Lebanon,2.581497196,4136.146347,8.327519799,150.000705,78.82862475,12.49699974,1.426829956,-2.825172893
Liberia,1.301795383,675.6631858,6.515694706,9.945623531,,3.671999931,,
Libya,,6357.19555,8.757342608,110.4000707,,20.6060009,,
St. Lucia,5.064256189,9414.226231,9.149977253,-0.596394872,,19.52000046,3.205982205,
Latin America & Caribbean,3.378721072,8327.60519,9.027331202,3.878277849,54.66304775,9.236439047,16.02389284,19.67255221
Least developed countries: UN classification,2.028444372,1164.918316,7.060406249,4.703273588,48.0351312,5.625167595,14.71533225,28.51869662
Sri Lanka,0.671922358,4013.687657,8.297465713,8.057160083,41.05866694,5.238999844,17.89156325,
Lesotho,-0.495654043,1094.098185,6.997685728,-0.884113276,132.2319923,18.29299927,15.06433207,
Lithuania,4.431756128,23723.34025,10.07421466,6.508053138,156.4650539,7.110000134,16.1234125,20.79883594
Luxembourg,-10.5885584,133590.147,11.80253179,6.181292455,388.1204334,5.25,4.849799629,22.87864699
